全身|full body,
裸足|barefoot,
裸背|bare back,
上身脱光|topless,
下身脱光|bottomless,
袒胸|expmose boso,
半裸|seminude,
裸肩|bare shoulders,
露肩|off shoulder
脸|face
手臂|arm
腿|leg
头|head
耳|Ear
脚|foot
手掌|palm
发|head
胸|brisket
腹/肚子|abdomen
背|rear
脚掌|soles of feet
眼睛|eye
单马尾|ponytail,
辫子|braid,
双马尾|twintails,
法式辫子|french braid,
浏海|bangs,
齐眼浏海|lash grazing bangs/fringe
眼间发|hair between eyes,
中长发|medium hair,
长长发|very long hair,
遮单眼|Bangs that cover one eye
卷发|coil hair,
波浪卷|wavy hair,
呆毛|blond hair,AHOGE
姬发式|hime cut,
妹妹头|bob cut,
双马尾|pigtails,
辫子|braid,
包子头|double buns,
短发|short hair
双马尾|two side up
金发|Blond hair
黑发|Black hair
粉色发|pink hair
发饰|hair ornament
花饰|hair flower
白发|white hair
条纹发|streaked hair
侧马尾辫|Side ponytail
中间浏海|hair between eyes
发夹|hairclip
双辫子|twin braids
脸红|light blush
面部的|facial,
爱心瞳|heart-shaped pupils,
符号瞳|symbol-shaped pupils,
半开眼|half-closed eyes,
眼影|eye shadows,
口红|lipstick,
脸红|blush,
orgasm,
无表情|expressionless,
舌头|tongue,
张开嘴|open mouth,
闭嘴|closed mouth,
吐舌|tongue out,
微笑|smile,
露齿笑|grin,
坏笑|evil grin,evil smile
阿嘿颜|ahegao,
生气|angry,
哭泣脸|with tears,
满足脸|satisfied,
小虎牙|fang,
异色曈|Heterochromia,
獠牙|fangs
眼泪|tears
胸部|breasts,
贫乳|small breasts, flat chest,
巨乳|huge breasts,
垂胸|huge breasts,
乳头|cleavage,
美乳/中等尺寸乳房|medium breasts
乳头|nipples,
透出乳头|covered nipples
乳头突出OO|nipples show through
腋下|armpits,
锁骨|collarbone,
肚脐|navel,
透出肚脐|covered navel,
腹部|midriff, stomach,
腹股沟|groin,
大腿|thighs,
通过大腿看到屁股肉|ass visible through thighs,
大腿缝|thigh gap,
粗大腿|thick thigh,
子宫|uterus,
黑肉|dark skin
光滑肌肤|shiny skin
白虎|No Pubic Hair
洗衣板/飞机场|Flatchested
扶他|Futanari
贫乳/微乳|Tiny Breasts
复乳/怪乳/超乳|Multi/Monster/Mega Breasts
扶他|Futanari
乳沟|cleavage,
Vulva
露出|exposed
瘦小|thin
露出腰部|midriff
